player_name
"Jarkko Nieminen"
"Santiago Fa Rodriguez Taverna"
"William Blumberg"
"Hernan Casanova"
"Daniel Dutra Da Silva"
"Mili Poljicak"
"Nick Chappell"
"Gonzalo Villanueva"
"Facundo Mena"
"Evan Furness"
"Yunseong Chung"
"Dragos Nicolae Madaras"
"Francesco Maestrelli"
"Gilles Arnaud Bailly"
"Andrej Nedic"
"Isaac Becroft"
"Cesar Cruz"
"Daniels Tens"
"Michael Bassem Sobhy"
"Nathan Anthony Barki"
"Tegar Abdi Satrio Wibowo"
"Lucky Candra Kurniawan"
"Lleyton Cronje"
"Alexis Klegou"
"Delmas Ntcha"
"Manas Dhamne"
"Alex Rybakov"
"Liam Krall"
"Clement Chidekh"
"Mateus Alves"
"Younes Lalami Laaroussi"
"Daniel Rincon"
"Alvaro Lopez San Martin"
"George Loffhagen"
"Arthur Fery"
"Strong Kirchheimer"
"Tao Mu"
"Jie Cui"
"Ye Cong Mo"
"Karl Friberg"
"Alexander Blockx"
"Matteo Martineau"
"Patrick Kaukovalta"
"Andreja Petrovic"
"Amir Milushev"
"Oleksandr Ovcharenko"
"Jose  Flores"
"Martins Rocens"
"Walid Ahouda"
"Daniel Azar"
"Fajing Sun"
"Clement Mainguy"
"Raul Garcia"
"Karam Hatamleh"
"Jacob Bicknell"
"Alec Beckley"
"Devin Badenhorst"
"Chak Lam Coleman Wong"
"James Mccabe"
"Antoine Escoffier"
"Adam Neff"
"Darwin Blanch"
"Jaime Faria"
"Javier Barranco Cosano"
"Nikolas Sanchez Izquierdo"
"Sebastian Fanselow"
"Charles Broom"
"Henry Searle"
"Joel Schwaerzler"
"Luka Mikrut"
"Francisco Cabral"
"Matthew Forbes"
"Kyrian Jacquet"
"Raphael Collignon"
"Branko Djuric"
"Theo Papamalamis"
"Orel Kimhi"
"Faris Zakaryia"
"Philip Hjorth"
"Min Kyu Song"
"Siddharth Vishwakarma"
"Luca Preda"
"Davis Rolis"
"Maxim Shin"
"Yousaf Khalil"
"Jack Cheng"
"Marcos Lee Chan Baratau"
"Maximus Jones"
"Thanapet Chanta"
"Hamza Karmoussi"
"Gillian Osmont"
"Heve Kelley"
"Matavao Fanguna"
"Kwok Shun Dasson Chan"
"Ilya Snitari"
